OrderID,Date,Product,Category,Region,Quantity,Price,Sales,Discount,Profit,NetSales,ProfitMarginPct,Month,MonthName
ORD1000,2024-04-12,Backpack,Accessories,North,1,158.38,158.38,0.1,49.89,142.54,35.0,4,April
ORD1001,2024-12-14,Notebook,Stationery,East,1,103.76,103.76,0.0,36.32,103.76,35.0,12,December
ORD1002,2024-09-27,Office Chair,Furniture,South,1,1055.96,1055.96,0.1,190.07,950.36,20.0,9,September
ORD1003,2024-04-16,Stapler,Stationery,North,1,50.0,50.0,0.15,14.87,42.5,34.99,4,April
ORD1004,2024-03-12,Backpack,Accessories,Central,3,183.72,551.16,0.0,192.91,551.16,35.0,3,March
ORD1005,2024-07-07,Pen Set,Stationery,Central,1,75.28,75.28,0.05,25.03,71.52,35.0,7,July
ORD1006,2024-01-21,Keyboard,Electronics,North,1,729.28,729.28,0.0,145.86,729.28,20.0,1,January
ORD1007,2024-04-12,Notebook,Stationery,North,1,251.95,251.95,0.0,88.18,251.95,35.0,4,April
ORD1008,2024-05-01,Office Chair,Furniture,South,2,897.54,1795.08,0.0,359.02,1795.08,20.0,5,May
ORD1009,2024-08-02,Coffee Maker,Appliances,Central,1,875.56,875.56,0.05,166.36,831.78,20.0,8,August
ORD1010,2024-11-26,Notebook,Stationery,Central,2,147.49,294.98,0.0,103.24,294.98,35.0,11,November
ORD1011,2024-03-28,Office Chair,Furniture,Central,2,814.08,1628.16,0.0,325.63,1628.16,20.0,3,March
ORD1012,2024-04-09,Keyboard,Electronics,South,3,773.88,2321.64,0.05,441.11,2205.56,20.0,4,April
ORD1013,2024-12-25,Mouse,Electronics,Central,2,931.85,1863.7,0.0,372.74,1863.7,20.0,12,December
ORD1014,2024-05-31,Desk Lamp,Furniture,North,3,956.66,2869.98,0.0,574.0,2869.98,20.0,5,May
ORD1015,2024-05-10,Paper Ream,Stationery,South,2,152.52,305.04,0.0,106.76,305.04,35.0,5,May
ORD1016,2024-05-29,Printer,Electronics,West,1,838.9,838.9,0.15,142.61,713.06,20.0,5,May
ORD1017,2024-11-04,Monitor 24inch,Electronics,East,1,784.38,784.38,0.0,156.88,784.38,20.0,11,November
ORD1018,2024-09-14,Stapler,Stationery,South,1,50.0,50.0,0.0,17.5,50.0,35.0,9,September
ORD1019,2024-12-09,Paper Ream,Stationery,East,2,50.0,100.0,0.05,33.25,95.0,35.0,12,December
ORD1020,2024-10-20,Pen Set,Stationery,North,2,148.53,297.06,0.0,103.97,297.06,35.0,10,October
ORD1021,2024-07-10,Keyboard,Electronics,North,1,692.33,692.33,0.0,138.47,692.33,20.0,7,July
ORD1022,2024-10-03,Monitor 24inch,Electronics,East,2,700.94,1401.88,0.0,280.38,1401.88,20.0,10,October
ORD1023,2024-06-09,Water Bottle,Accessories,East,2,111.43,222.86,0.0,78.0,222.86,35.0,6,June
ORD1024,2024-11-09,Paper Ream,Stationery,North,1,179.4,179.4,0.0,62.79,179.4,35.0,11,November
ORD1025,2024-01-22,Printer,Electronics,West,2,739.17,1478.34,0.05,280.88,1404.42,20.0,1,January
ORD1026,2024-09-09,Coffee Maker,Appliances,North,1,626.23,626.23,0.05,118.98,594.92,20.0,9,September
ORD1027,2024-08-23,Headphones,Electronics,West,3,631.1,1893.3,0.15,321.86,1609.3,20.0,8,August
ORD1028,2024-12-10,Pen Set,Stationery,Central,2,63.79,127.58,0.05,42.42,121.2,35.0,12,December
ORD1029,2024-02-18,Desk Lamp,Furniture,Central,1,774.39,774.39,0.0,154.88,774.39,20.0,2,February
ORD1030,2024-02-28,Headphones,Electronics,East,3,797.72,2393.16,0.0,478.63,2393.16,20.0,2,February
ORD1031,2024-06-18,Water Bottle,Accessories,South,1,50.0,50.0,0.0,17.5,50.0,35.0,6,June
ORD1032,2024-07-06,Printer,Electronics,North,1,838.73,838.73,0.05,159.36,796.79,20.0,7,July
ORD1033,2024-09-27,Notebook,Stationery,South,1,50.73,50.73,0.15,15.09,43.12,35.0,9,September
ORD1034,2024-07-08,Paper Ream,Stationery,East,1,232.82,232.82,0.0,81.49,232.82,35.0,7,July
ORD1035,2024-06-23,Pen Set,Stationery,South,4,101.85,407.4,0.0,142.59,407.4,35.0,6,June
ORD1036,2024-02-20,Desk Organizer,Furniture,North,4,826.89,3307.56,0.0,661.51,3307.56,20.0,2,February
ORD1037,2024-12-29,Keyboard,Electronics,East,1,801.51,801.51,0.15,136.26,681.28,20.0,12,December
ORD1038,2024-02-24,Mouse,Electronics,East,1,974.14,974.14,0.0,194.83,974.14,20.0,2,February
ORD1039,2024-08-31,Stapler,Stationery,East,1,265.11,265.11,0.0,92.79,265.11,35.0,8,August
ORD1040,2024-11-15,Monitor 24inch,Electronics,South,3,1062.78,3188.34,0.0,637.67,3188.34,20.0,11,November
ORD1041,2024-05-10,Backpack,Accessories,East,1,53.0,53.0,0.0,18.55,53.0,35.0,5,May
ORD1042,2024-11-02,Printer,Electronics,North,1,708.9,708.9,0.15,120.51,602.56,20.0,11,November
ORD1043,2024-05-14,Water Bottle,Accessories,South,5,168.05,840.25,0.0,294.09,840.25,35.0,5,May
ORD1044,2024-01-21,Coffee Maker,Appliances,South,1,914.05,914.05,0.0,182.81,914.05,20.0,1,January
ORD1045,2024-11-24,Stapler,Stationery,West,1,80.77,80.77,0.1,25.44,72.69,35.0,11,November
ORD1046,2024-06-15,Keyboard,Electronics,East,2,641.57,1283.14,0.1,230.97,1154.83,20.0,6,June
ORD1047,2024-09-30,Headphones,Electronics,Central,2,1019.78,2039.56,0.0,407.91,2039.56,20.0,9,September
ORD1048,2024-03-29,Office Chair,Furniture,East,1,941.53,941.53,0.15,160.06,800.3,20.0,3,March
ORD1049,2024-11-11,Desk Organizer,Furniture,North,1,743.7,743.7,0.0,148.74,743.7,20.0,11,November
ORD1050,2024-01-14,Office Chair,Furniture,North,1,786.26,786.26,0.0,157.25,786.26,20.0,1,January
ORD1051,2024-08-29,Paper Ream,Stationery,East,1,298.54,298.54,0.0,104.49,298.54,35.0,8,August
ORD1052,2024-09-21,Keyboard,Electronics,East,2,800.63,1601.26,0.05,304.24,1521.2,20.0,9,September
ORD1053,2024-12-11,Pen Set,Stationery,South,3,155.64,466.92,0.05,155.25,443.57,35.0,12,December
ORD1054,2024-02-22,Headphones,Electronics,Central,1,671.89,671.89,0.15,114.22,571.11,20.0,2,February
ORD1055,2024-12-05,Headphones,Electronics,East,1,782.91,782.91,0.0,156.58,782.91,20.0,12,December
ORD1056,2024-04-01,Office Chair,Furniture,West,1,615.91,615.91,0.0,123.18,615.91,20.0,4,April
ORD1057,2024-09-20,Keyboard,Electronics,West,1,953.32,953.32,0.0,190.66,953.32,20.0,9,September
ORD1058,2024-02-04,Stapler,Stationery,East,2,291.52,583.04,0.0,204.06,583.04,35.0,2,February
ORD1059,2024-07-24,Stapler,Stationery,South,1,158.1,158.1,0.1,49.8,142.29,35.0,7,July
ORD1060,2024-03-21,Printer,Electronics,Central,1,877.45,877.45,0.05,166.72,833.58,20.0,3,March
ORD1061,2024-02-19,Coffee Maker,Appliances,East,1,964.24,964.24,0.0,192.85,964.24,20.0,2,February
ORD1062,2024-12-25,Printer,Electronics,Central,1,927.01,927.01,0.0,185.4,927.01,20.0,12,December
ORD1063,2024-01-02,Keyboard,Electronics,Central,1,588.95,588.95,0.1,106.01,530.06,20.0,1,January
ORD1064,2024-02-23,Keyboard,Electronics,East,1,980.28,980.28,0.0,196.06,980.28,20.0,2,February
ORD1065,2024-04-15,Office Chair,Furniture,South,1,808.89,808.89,0.1,145.6,728.0,20.0,4,April
ORD1066,2024-09-16,Coffee Maker,Appliances,West,3,595.59,1786.77,0.0,357.35,1786.77,20.0,9,September
